CustomerID,FirstName,LastName,City,Country,Phone,OrderID,OrderDate,OrderNumber,TotalAmount,ProductID,ProductName,UnitPrice,Package,IsDiscontinued,SupplierID,CompanyName,ContactName,City,Country,Phone,Fax
85,Paul,Henriot,Reims,France,26.47.15.10,1,7/4/2012 0:00,542378,440,11,Queso Cabrales,21,1 kg pkg.,FALSE,5,Cooperativa de Quesos 'Las Cabras',Antonio del Valle Saavedra,Oviedo,Spain,(98) 598 76 54,NULL
85,Paul,Henriot,Reims,France,26.47.15.10,1,7/4/2012 0:00,542378,440,42,Singaporean Hokkien Fried Mee,14,32 - 1 kg pkgs.,TRUE,20,Leka Trading,Chandra Leka,Singapore,Singapore,555-8787,NULL
85,Paul,Henriot,Reims,France,26.47.15.10,1,7/4/2012 0:00,542378,440,72,Mozzarella di Giovanni,34.8,24 - 200 g pkgs.,FALSE,14,Formaggi Fortini s.r.l.,Elio Rossi,Ravenna,Italy,(0544) 60323,(0544) 60603
79,Karin,Josephs,Münster,Germany,0251-031259,2,7/5/2012 0:00,542379,1863.4,14,Tofu,23.25,40 - 100 g pkgs.,FALSE,6,Mayumi's,Mayumi Ohno,Osaka,Japan,(06) 431-7877,NULL
79,Karin,Josephs,Münster,Germany,0251-031259,2,7/5/2012 0:00,542379,1863.4,51,Manjimup Dried Apples,53,50 - 300 g pkgs.,FALSE,24,"G'day, Mate",Wendy Mackenzie,Sydney,Australia,(02) 555-5914,(02) 555-4873
34,Mario,Pontes,Rio de Janeiro,Brazil,(21) 555-0091,3,7/8/2012 0:00,542380,1813,41,Jack's New England Clam Chowder,9.65,12 - 12 oz cans,FALSE,19,New England Seafood Cannery,Robb Merchant,Boston,USA,(617) 555-3267,(617) 555-3389
34,Mario,Pontes,Rio de Janeiro,Brazil,(21) 555-0091,3,7/8/2012 0:00,542380,1813,51,Manjimup Dried Apples,53,50 - 300 g pkgs.,FALSE,24,"G'day, Mate",Wendy Mackenzie,Sydney,Australia,(02) 555-5914,(02) 555-4873
34,Mario,Pontes,Rio de Janeiro,Brazil,(21) 555-0091,3,7/8/2012 0:00,542380,1813,65,Louisiana Fiery Hot Pepper Sauce,21.05,32 - 8 oz bottles,FALSE,2,New Orleans Cajun Delights,Shelley Burke,New Orleans,USA,(100) 555-4822,NULL
84,Mary,Saveley,Lyon,France,78.32.54.86,4,7/8/2012 0:00,542381,670.8,22,Gustaf's Kn?ckebr?d,21,24 - 500 g pkgs.,FALSE,9,PB Kn?ckebr?d AB,Lars Peterson,G?teborg,Sweden,031-987 65 43,031-987 65 91
84,Mary,Saveley,Lyon,France,78.32.54.86,4,7/8/2012 0:00,542381,670.8,57,Ravioli Angelo,19.5,24 - 250 g pkgs.,FALSE,26,Pasta Buttini s.r.l.,Giovanni Giudici,Salerno,Italy,(089) 6547665,(089) 6547667
